# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA
1307	*daupjanan	*daupjanan	Proto-Germanic	359	d au p j a n	daupjanan
1308	*daupjanan	taufen	German	359	t au f ə n	taufən
1309	*daupjanan	dopen	Dutch	359	d oː p ə	doːpə
#
1517	*dawwō	*dawwō	Proto-Germanic	416	d a ww oː	dawwoː
1518	*dawwō	Tau	German	416	t au	tau
1519	*dawwō	dew	English	416	d j uː	djuː
1520	*dawwō	dauw	Dutch	416	d ɑu ʋ	dɑuʋ
#
893	*deljaz	*deljaz	Proto-Germanic	246	d e l j	deljaz
894	*deljaz	Dill	German	246	d ɪ l	dɪl
895	*deljaz	dill	English	246	d ɪ l	dɪl
896	*deljaz	dille	Dutch	246	d ɪ l ə	dɪlə
#
406	*deuzan	*deuzan	Proto-Germanic	112	d eu z	deuzan
407	*deuzan	Tier	German	112	t iː r	tiːr
408	*deuzan	deer	English	112	d ɪə r	dɪər
409	*deuzan	dier	Dutch	112	d iː r	diːr
#
741	*drankan	*drankan	Proto-Germanic	204	d r a n k	drankan
742	*drankan	Trank	German	204	t r a ŋ k	traŋk
743	*drankan	drench	English	204	d r ɛ n ʧ	drɛnʧ
744	*drankan	drank	Dutch	204	d r ɑ ŋ k	drɑŋk
#
395	*draumaz	*draumaz	Proto-Germanic	109	d r au m	draumaz
396	*draumaz	Traum	German	109	t r au m	traum
397	*draumaz	dream	English	109	d r iː m	driːm
398	*draumaz	droom	Dutch	109	d r oː m	droːm
#
19	*drenkanan	*drenkanan	Proto-Germanic	6	d r e n k a n	drenkanan
20	*drenkanan	trinken	German	6	t r ɪ ŋ k ə n	trɪŋkən
21	*drenkanan	drink	English	6	d r ɪ ŋ k	drɪŋk
22	*drenkanan	drinken	Dutch	6	d r ɪ ŋ k ə	drɪŋkə
#
882	*dreupanan	*dreupanan	Proto-Germanic	243	d r eu p a n	dreupanan
883	*dreupanan	triefen	German	243	t r iː f ə n	triːfən
884	*dreupanan	druipen	Dutch	243	d r œy p ə	drœypə
#
1240	*drībanan	*drībanan	Proto-Germanic	341	d r iː b a n	driːbanan
1241	*drībanan	treiben	German	341	t r ai b ə n	traibən
1242	*drībanan	drive	English	341	d r aɪ v	draɪv
1243	*drībanan	drijven	Dutch	341	d r ɛɪ v ə	drɛɪvə
#
