# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	COGID
958	BAS	to smoke meat	ceco	c e c o	c e c o	89
959	DES	to smoke meat	siju	s i j u	s i j u	89
960	KAR	to smoke meat	siso	s i s o	s i s o	89
961	KOR	to smoke meat	sɨjo	s ɨ j o	s ɨ j o	89
962	KUB	to smoke meat	hɨjowa	h ɨ j o w a	h ɨ j o w !a	89
963	KUE	to smoke meat	ãsɨ	ã s ɨ	ã s ɨ	89
964	MAI	to smoke meat	sɨjo	s ɨ j o	s ɨ j o	89
965	SEK	to smoke meat	sɨjo	s ɨ j o	s ɨ j o	89
966	SIO	to smoke meat	sẽjo	s ẽ j o	s ẽ j o	89
967	TUK	to smoke meat	sɨʔso	s ɨ ʔs o	s ɨ ʔs o	89
968	WAN	to smoke meat	sɨso	s ɨ s o	s ɨ s o	89
969	YUP	to smoke meat	siju	s i j u	s i j u	89
970	*PT	to smoke meat	*sɨʔjo	ɨ ʔj o	s ɨ ʔj o - -	89
#
773	BAS	toad sp.	momo	m o m o	!m o m o	70
774	DES	toad sp.	moma	m o m a	!m o m a	70
775	KOR	toad sp.	hoho	h o h o	h !o h o	70
776	KUB	toad sp.	popo	p o p o	!p o p o	70
777	SEK	toad sp.	hoho	h o h o	!h o h o	70
778	TUK	toad sp.	moʔmo	m o ʔm o	!m o ʔm o	70
779	WAN	toad sp.	waʔmu	w a ʔm u	!w !a ʔm u	70
780	*PT	toad sp.	*pʔopa	pʔ o p a	pʔ o p a	70
#
527	BAS	tobacco	~bɨʔdo	m ɨ̃ ʔn õ	m ɨ̃ ʔn õ	47
528	DES	tobacco	~budu	m ũ n ũ	m ũ n ũ	47
529	KAR	tobacco	~bɨdo	m ɨ̃ n õ	m ɨ̃ n õ	47
530	KOR	tobacco	mɨto	m ɨ t o	m ɨ t o	47
531	KUE	tobacco	mɨno	m ɨ n o	m ɨ n o	47
532	MAI	tobacco	mɨto	m ɨ t o	m ɨ t o	47
533	SEK	tobacco	mɨto	m ɨ t o	m ɨ t o	47
534	SIO	tobacco	muto	m u t o	m u t o	47
535	TAN	tobacco	~biʔro	m ĩ ʔr̃ õ	m ĩ ʔr̃ õ	47
536	TUK	tobacco	~bɨʔdo	m ɨ̃ ʔn õ	m ɨ̃ ʔn õ	47
537	TUY	tobacco	~bɨdo	m ɨ̃ n õ	m ɨ̃ n õ	47
538	WAN	tobacco	~bɨʔto	m ɨ̃ ʔt õ	m ɨ̃ ʔt õ	47
539	*PT	tobacco	*mɨtʔo	m ɨ tʔ o	m ɨ tʔ o	47
#
885	BAS	tocandira ant	heta	h e t a	!h e - t a	81
886	DES	tocandira ant	peda	p e d a	!p e - d a	81
887	KAR	tocandira ant	peta	p e t a	p e - t !a	81
888	KUB	tocandira ant	piada	p i a d a	!p i a d a	81
889	KUE	tocandira ant	hata	h a t a	h a - t a	81
890	TAN	tocandira ant	patajah	p a t a	p a - t a	81
891	TUK	tocandira ant	peta	p e t a	!p e - t a	81
892	WAN	tocandira ant	phita	ph i t a	ph i - t a	81
893	*PT	tocandira ant	*piata	p i a t a	p i a t a	81
#
1139	BAS	tongue	~jebe	ɲ ẽ m ẽ	ɲ ẽ m ẽ	106
1140	KAR	tongue	~jebe	ɲ ẽ m ẽ	ɲ ẽ m ẽ	106
1141	KOR	tongue	jeme	j e m e	j e m e	106
1142	KUB	tongue	~hebe	h ẽ m ẽ	h ẽ m ẽ	106
1143	KUE	tongue	jame	j a m e	j a m e	106
1144	MAI	tongue	neme	n e m e	n e m e	106
1145	SEK	tongue	sʔeme	sʔ e m e	sʔ e m e	106
1146	SIO	tongue	sʔeme	sʔ e m e	sʔ e m e	106
1147	TUK	tongue	~jebe	ɲ ẽ m ẽ	ɲ ẽ m ẽ	106
1148	TUY	tongue	~jebe	ɲ ẽ m ẽ	ɲ ẽ m ẽ	106
1149	WAN	tongue	~jaba	ɲ ã m ã	ɲ ã m ã	106
1150	*PT	tongue	*tjʔeme	t jʔ e m e	tjʔ e m e	106
#
346	BAS	tooth	guhi	g u h i	!g u h i	31
347	KAR	tooth	opi	o p i	o p i	31
348	KOR	tooth	~khohi	kh õ h ĩ	kh õ h ĩ	31
349	KUB	tooth	~kopi	k õ p ĩ	k õ p ĩ	31
350	KUE	tooth	kohi	k o h i	k o h i	31
351	MAI	tooth	gũhi	g ũ h i	g ũ h i	31
352	SEK	tooth	~koʔhi	k õ ʔh ĩ	k õ ʔh ĩ	31
353	SIO	tooth	~kʔuhi	kʔ ũ h ĩ	kʔ ũ h ĩ	31
354	TAN	tooth	opi	o p i	o p i	31
355	TUK	tooth	upi	u p i	u p i	31
356	TUY	tooth	upi	u p i	u p i	31
357	WAN	tooth	pidiaka	p i d i a k a	p i d !i !a !k !a	31
358	*PT	tooth	*kʔõpi	kʔ õ p i	kʔ õ p i ( - - - - - )	31
#
307	BAS	tortoise	guu	g u u	g u u	28
308	DES	tortoise	gui	g u i	g u i	28
309	KAR	tortoise	uu	u u	u u	28
310	KOR	tortoise	koɨ	k o ɨ	k o ɨ	28
311	KUB	tortoise	~kuɨ	k ũ ɨ̃	k ũ ɨ̃	28
312	KUE	tortoise	kaɨ	k a ɨ	!k a ɨ	28
313	SEK	tortoise	kou	k o u	!k o u	28
314	SIO	tortoise	kʔoɨ	kʔ o ɨ	!kʔ o ɨ	28
315	TAN	tortoise	oʔi	o ʔ i	o ʔ i	28
316	TUK	tortoise	uhudi	u h u d i	u h u d i	28
317	TUY	tortoise	kuu	k u u	k u u	28
318	WAN	tortoise	ku	k u	k u -	28
319	*PT	tortoise	*kʔoɨ	kʔ o ɨ	kʔ o - ɨ ( - - )	28
#
1128	DES	toucan	~dasi	n ã s ĩ	n ã s !ĩ	105
1129	KAR	toucan	dasa	d a s a	d a s a	105
1130	KOR	toucan	jãse	j ã s e	j ã s e	105
1131	KUB	toucan	hoewe	h o e w e	h o e w e	105
1132	KUE	toucan	rase	r a s e	r a s e	105
1133	SEK	toucan	jãse	j ã s e	j ã s e	105
1134	SIO	toucan	jãse	j ã s e	j ã s e	105
1135	TAN	toucan	~dahe	n ã h ẽ	n ã h ẽ	105
1136	TUK	toucan	race	r a c e	r a c e	105
1137	WAN	toucan	dase	d a s e	d a s e	105
1138	*PT	toucan	*tjʔase(?)	t jʔ a s e	tjʔ - a s e	105
#
1037	BAS	traira fish	roe	r o e	!r o - e	97
1038	DES	traira fish	doe	d o e	d o - e	97
1039	KAR	traira fish	rose	r o s e	!r o s e	97
1040	KOR	traira fish	roje	r o j e	r o j e	97
1041	KUB	traira fish	doje	d o j e	!d o j e	97
1042	SEK	traira fish	doje	d o j e	!d o j e	97
1043	TAN	traira fish	roje	r o j e	r o j e	97
1044	TUK	traira fish	doe	d o e	d o - e	97
1045	*PT	traira fish	*tʔoje	tʔ o j e	tʔ o j e	97
#
1317	BAS	tree	jukɨ	j u k ɨ	j u k ɨ	121
1318	DES	tree	jukɨ	j u k ɨ	j u k ɨ	121
1319	KAR	tree	jukɨ	j u k ɨ	j u k ɨ	121
1320	KOR	tree	sũkij̃ɨ	s ũ k i j̃ ɨ	s ũ k i j̃ !ɨ	121
1321	KUB	tree	hokɨ	h o k ɨ	h o k ɨ	121
1322	KUE	tree	tokɨ	t o k ɨ	t o k ɨ	121
1323	MAI	tree	sũkij̃i	s ũ k i j̃ i	s ũ k i j̃ i	121
1324	SEK	tree	sõkɨ	s õ k ɨ	s õ k ɨ	121
1325	SIO	tree	sũki	s ũ k i	s ũ k i	121
1326	TAN	tree	~huki	h ũ k ĩ	h ũ k ĩ	121
1327	TUK	tree	jukɨ	j u k ɨ	j u k ɨ	121
1328	TUY	tree	jukɨ	j u k ɨ	j u k ɨ	121
1329	WAN	tree	jukɨ	j u k ɨ	j u k ɨ	121
1330	*PT	tree	*tjũkkɨ	t j ũ k k ɨ	tj ũ kk ɨ ( - - )	121
#
320	BAS	urinate	~gode	ŋ õ n ẽ	ŋ õ n ẽ	29
321	DES	urinate	~gode	ŋ õ n ẽ	ŋ õ n ẽ	29
322	KAR	urinate	~ode	õ n ẽ	õ n ẽ	29
323	KOR	urinate	õne	õ n e	õ n e	29
324	KUB	urinate	~kode	k õ n ẽ	k õ n ẽ	29
325	MAI	urinate	gone	g o n e	g o n e	29
326	SEK	urinate	kõne	k õ n e	k õ n e	29
327	SIO	urinate	kʔõne	kʔ õ n e	kʔ õ n e	29
328	TUK	urinate	~oʔde	õ ʔn ẽ	õ !ʔn ẽ	29
329	TUY	urinate	~kode	k õ n ẽ	k õ n ẽ	29
330	WAN	urinate	~khudu	kh ũ n ũ	kh ũ n !ũ	29
331	*PT	urinate	*kʔone	kʔ o n e	kʔ o n e	29
#
791	BAS	urucum (achiote)	~buca	m ũ c ã	m ũ c ã	72
792	DES	urucum (achiote)	~busa	m ũ s ã	m ũ s ã	72
793	KAR	urucum (achiote)	~busa	m ũ s ã	m ũ s ã	72
794	KOR	urucum (achiote)	pũsa	p ũ s a	p ũ s a	72
795	KUB	urucum (achiote)	~buha	m ũ h ã	m ũ h ã	72
796	KUE	urucum (achiote)	muhia	m u hi a	m u hi a	72
797	MAI	urucum (achiote)	bosa	b o s a	b o s a	72
798	SEK	urucum (achiote)	pʔõsa	pʔ õ s a	pʔ õ s a	72
799	SIO	urucum (achiote)	pʔõsa	pʔ õ s a	pʔ õ s a	72
800	TAN	urucum (achiote)	~buha	m ũ h ã	m ũ h ã	72
801	TUK	urucum (achiote)	~bosa	m õ s ã	m õ s ã	72
803	*PT	urucum (achiote)	*pʔõsa	pʔ õ s a	pʔ õ s a	72
#
444	BAS	wait	kode	k o d e	k o d e	40
445	DES	wait	kode	k o d e	k o d e	40
446	KUB	wait	kode	k o d e	k o d e	40
447	KUE	wait	hote	h o t e	h o t e	40
448	MAI	wait	ɨ̃te	ɨ̃ t e	- ɨ̃ t e	40
449	SEK	wait	ute	u t e	u t e	40
450	TUK	wait	koʔte	k o ʔt e	k o ʔt e	40
451	WAN	wait	koʔta	k o ʔt a	k o ʔt a	40
452	YUP	wait	kore	k o r e	k o r e	40
453	*PT	wait	*kwɨtʔe	kw ɨ tʔ e	kw ɨ tʔ e	40
#
1378	BAS	wasp	uti	u t i	u t i	127
1379	DES	wasp	uti	u t i	u t i	127
1380	KAR	wasp	uti	u t i	u t i	127
1381	KOR	wasp	uthi	u th i	u th i	127
1382	KUB	wasp	ut∫i	u t∫ i	u t∫ i	127
1383	KUE	wasp	huti	h u t i	h u t i	127
1384	MAI	wasp	uti	u t i	u t i	127
1385	SEK	wasp	uti	u t i	u t i	127
1386	SIO	wasp	uti	u t i	u t i	127
1387	TAN	wasp	uti	u t i	u t i	127
1388	TUK	wasp	uti	u t i	u t i	127
1389	TUY	wasp	utia	u t i a	u t i a	127
1390	WAN	wasp	ti	t i	t i	127
1391	*PT	wasp	*utti	u t t i	- u tt i -	127
#
625	BAS	water	oko	o k o	o k o	56
626	DES	water	deko	d e k o	d e - k !o	56
627	KAR	water	oko	o k o	o k o	56
628	KOR	water	okho	o kh o	o kh o	56
629	KUB	water	oko	o k o	o k o	56
630	KUE	water	kotapu	k o t a p u	k o t !a !p !u	56
631	MAI	water	oko	o k o	o k o	56
632	SEK	water	oko	o k o	o k o	56
633	SIO	water	oko	o k o	o k o	56
634	TAN	water	oko	o k o	o k o	56
635	TUK	water	oko	o k o	o k o	56
636	TUY	water	oko	o k o	o k o	56
637	WAN	water	ko	k o	k o	56
638	*PT	water	*okko	o k k o	- - o kk o ( - - - - )	56
#
759	BAS	white	boti	b o t i	b o t !i	69
760	DES	white	bode	b o d e	b o !d !e	69
761	KAR	white	boti	b o t i	b o t !i	69
762	KOR	white	po	p o	!p o	69
763	KUB	white	bo	b o	!b o	69
764	KUE	white	po	p o	p o	69
765	MAI	white	bo	b o	!b o	69
766	SEK	white	po	p o	!p o	69
767	SIO	white	pʔo	pʔ o	pʔ o	69
768	TAN	white	boi	b o i	b o i	69
769	TUK	white	buti	b u t i	b u t !i	69
770	TUY	white	buti	b u t i	!b u t !i	69
771	WAN	white	boʔta	b o ʔt a	!b o !ʔt !a	69
772	*PT	white	*pʔo-	pʔ o	pʔ o - -	69
#
1020	KAR	wife	~dɨbo	n ɨ̃ m õ	n ɨ̃ m !õ	95
1021	KOR	wife	rɨho	r ɨ h o	r ɨ h !o	95
1022	MAI	wife	nɨho	n ɨ h o	n ɨ h o	95
1023	SEK	wife	dɨho	d ɨ h o	d ɨ h o	95
1024	SIO	wife	dɨ̃ho	d ɨ̃ h o	d ɨ̃ h o	95
1025	TAN	wife	~rubu	r̃ ũ m ũ	r̃ ũ !m !ũ	95
1026	TUK	wife	~dɨbo	n ɨ̃ m õ	n ɨ̃ !m !õ	95
1027	TUY	wife	~dɨbo	n ɨ̃ m õ	n ɨ̃ !m !õ	95
1028	WAN	wife	~dabo	n ã m õ	n !ã !m !õ	95
1029	*PT	wife	*tʔɨ̃po	tʔ ɨ̃ p o	tʔ ɨ̃ p o	95
#
1486	BAS	wind	~bido	m ĩ n õ	m ĩ n õ	137
1487	DES	wind	~bidu	m ĩ n ũ	m ĩ n ũ	137
1488	KAR	wind	~wido	w̃ ĩ n õ	w̃ ĩ n õ	137
1489	TAN	wind	~wiro	w̃ ĩ r̃ õ	w̃ ĩ r̃ õ	137
1490	TUK	wind	~wido	w̃ ĩ n õ	w̃ ĩ n õ	137
1491	TUY	wind	~wido	w̃ ĩ n õ	w̃ ĩ n õ	137
1492	WAN	wind	~wido	w̃ ĩ n õ	w̃ ĩ n õ	137
1493	YUP	wind	uíne	u í n e	u í n e	137
1494	*PT	wind	*wĩno	w ĩ n o	w ĩ n o	137
#
1046	BAS	woman	~robio	r̃ õ m ĩ õ	r̃ õ m ĩ õ	98
1047	DES	woman	~dobeo	n õ m ẽ õ	n õ m ẽ õ	98
1048	KAR	woman	~robio	r̃ õ m ĩ õ	r̃ õ m ĩ õ	98
1049	KOR	woman	romio	r o m i o	r o m i o	98
1050	KUB	woman	~dobi	n õ m ĩ	n õ m ĩ	98
1051	MAI	woman	nomio	n o m i o	n o m i o	98
1052	SEK	woman	dõmio	d õ m i o	d õ m i o	98
1053	SIO	woman	domi	d o m i	d o m i	98
1054	TAN	woman	~robo	r̃ õ m õ	r̃ õ m !õ	98
1055	TUK	woman	~dubio	n ũ m ĩ õ	n ũ m ĩ õ	98
1056	TUY	woman	~dubio	n ũ m ĩ õ	n ũ m ĩ õ	98
1057	WAN	woman	~dubido	n ũ m ĩ n õ	n ũ m ĩ n õ	98
1058	*PT	woman	*tʔõmi-	tʔ õ m i	tʔ õ m i ( - - )	98
#
415	BAS	woodpecker	~kode	k õ n ẽ	k õ n ẽ	37
416	DES	woodpecker	~kode	k õ n ẽ	k õ n ẽ	37
417	KAR	woodpecker	~kode	k õ n ẽ	k õ n ẽ	37
418	KOR	woodpecker	khõne	kh õ n e	kh õ n e	37
419	KUB	woodpecker	~kode	k õ n ẽ	k õ n ẽ	37
420	MAI	woodpecker	kone	k o n e	k o n e	37
421	SEK	woodpecker	kõne	k õ n e	k õ n e	37
422	SIO	woodpecker	kone	k o n e	k o n e	37
423	TUK	woodpecker	~kode	k õ n ẽ	k õ !n ẽ	37
424	WAN	woodpecker	~khode	kh õ n ẽ	kh õ n ẽ	37
425	*PT	woodpecker	*kone	k o n e	k o n e	37
#
177	BAS	yam	~jabo	ɲ ã m õ	ɲ ã m õ	17
178	DES	yam	~jaʔbo	ɲ ã ʔb õ	!ɲ ã !ʔb !õ	17
179	KAR	yam	~jabo	ɲ ã m õ	ɲ ã m õ	17
180	KOR	yam	jãho	j ã h o	j ã h o	17
181	KUB	yam	~jabu	ɲ ã m ũ	!ɲ ã m ũ	17
182	KUE	yam	jau	j a u	j a - !u	17
183	MAI	yam	jãho	j ã h o	j ã h o	17
184	SIO	yam	jãho	j ã h o	j ã h o	17
185	TAN	yam	~jaʔbu	ɲ ã ʔb ũ	ɲ ã !ʔb ũ	17
186	TUK	yam	~jaʔbu	ɲ ã ʔb ũ	!ɲ ã !ʔb !ũ	17
187	TUY	yam	~jabu	ɲ ã m ũ	ɲ ã m !ũ	17
188	WAN	yam	~jaʔbu	ɲ ã ʔb ũ	ɲ ã !ʔb !ũ	17
189	*PT	yam	*jãpʔo	j ã pʔ o	j ã pʔ o	17
#
513	BAS	you all	~bɨa	m ɨ̃ ã	m ɨ̃ - ã	46
514	DES	you all	~bɨa	m ɨ̃ ã	m ɨ̃ - ã	46
515	KAR	you all	~bɨsa	m ɨ̃ s ã	m ɨ̃ s ã	46
516	KOR	you all	mɨsanɨkhona	m ɨ s a n ɨ kh o n a	m ɨ s a n !ɨ !kh !o !n !a	46
517	KUB	you all	~bɨha	m ɨ̃ h ã	m ɨ̃ h ã	46
518	KUE	you all	mɨta	m ɨ t a	m ɨ t a	46
519	MAI	you all	mɨsa	m ɨ s a	m ɨ s a	46
520	SEK	you all	mɨsaru	m ɨ s a r u	m ɨ s a r u	46
521	SIO	you all	mɨsakwa	m ɨ s a k w a	m ɨ s a k w a	46
522	TAN	you all	~biha	m ĩ h ã	m ĩ h ã	46
523	TUK	you all	~bɨsa	m ɨ̃ s ã	m ɨ̃ s ã	46
524	TUY	you all	~bɨa	m ɨ̃ ã	m ɨ̃ - ã	46
525	WAN	you all	~bɨha	m ɨ̃ h ã	m ɨ̃ h ã	46
526	*PT	you all	*mɨ-tja	m ɨ tj a	m ɨ tj a ( - - - - - - )	46
